日期,总资产(元),累计收益率,每日收益率
2022-01-04,1000000.00,0.0000%,0.0000%
2022-01-05,1000000.00,0.0000%,0.0000%
2022-01-06,1000000.00,0.0000%,0.0000%
2022-01-07,1000000.00,0.0000%,0.0000%
2022-01-10,1000000.00,0.0000%,0.0000%
2022-01-11,1000000.00,0.0000%,0.0000%
2022-01-12,1000000.00,0.0000%,0.0000%
2022-01-13,1000000.00,0.0000%,0.0000%
2022-01-14,1000000.00,0.0000%,0.0000%
2022-01-17,1000000.00,0.0000%,0.0000%
2022-01-18,1000000.00,0.0000%,0.0000%
2022-01-19,1000000.00,0.0000%,0.0000%
2022-01-20,1000000.00,0.0000%,0.0000%
2022-01-21,1000000.00,0.0000%,0.0000%
2022-01-24,1000000.00,0.0000%,0.0000%
2022-01-25,1000000.00,0.0000%,0.0000%
2022-01-26,1000000.00,0.0000%,0.0000%
2022-01-27,1000000.00,0.0000%,0.0000%
2022-01-28,1000000.00,0.0000%,0.0000%
2022-01-31,1000000.00,0.0000%,0.0000%
2022-02-01,1000000.00,0.0000%,0.0000%
2022-02-02,1000000.00,0.0000%,0.0000%
2022-02-03,1000000.00,0.0000%,0.0000%
2022-02-04,1000000.00,0.0000%,0.0000%
2022-02-08,1000000.00,0.0000%,0.0000%
2022-02-09,1000000.00,0.0000%,0.0000%
2022-02-10,1000000.00,0.0000%,0.0000%
2022-02-11,1000000.00,0.0000%,0.0000%
2022-02-14,1000000.00,0.0000%,0.0000%
2022-02-15,1000000.00,0.0000%,0.0000%
2022-02-16,1000000.00,0.0000%,0.0000%
2022-02-17,1000000.00,0.0000%,0.0000%
2022-02-18,1000000.00,0.0000%,0.0000%
2022-02-21,1000000.00,0.0000%,0.0000%
2022-02-22,1000000.00,0.0000%,0.0000%
2022-02-23,1000000.00,0.0000%,0.0000%
2022-02-24,1000000.00,0.0000%,0.0000%
2022-02-25,1000000.00,0.0000%,0.0000%
2022-02-28,1000000.00,0.0000%,0.0000%
2022-03-01,1000000.00,0.0000%,0.0000%
2022-03-02,1000000.00,0.0000%,0.0000%
2022-03-03,1000000.00,0.0000%,0.0000%
2022-03-04,1000000.00,0.0000%,0.0000%
2022-03-07,1000000.00,0.0000%,0.0000%
2022-03-08,1000000.00,0.0000%,0.0000%
2022-03-09,1000000.00,0.0000%,0.0000%
2022-03-10,1000000.00,0.0000%,0.0000%
2022-03-11,1000000.00,0.0000%,0.0000%
2022-03-14,1000000.00,0.0000%,0.0000%
2022-03-15,1000000.00,0.0000%,0.0000%
2022-03-16,1000000.00,0.0000%,0.0000%
2022-03-17,1000000.00,0.0000%,0.0000%
2022-03-18,1000000.00,0.0000%,0.0000%
2022-03-21,1000000.00,0.0000%,0.0000%
2022-03-22,1000000.00,0.0000%,0.0000%
2022-03-23,1000000.00,0.0000%,0.0000%
2022-03-24,1000000.00,0.0000%,0.0000%
2022-03-25,1000000.00,0.0000%,0.0000%
2022-03-28,1000000.00,0.0000%,0.0000%
2022-03-29,1000000.00,0.0000%,0.0000%
2022-03-30,1000000.00,0.0000%,0.0000%
2022-03-31,1000000.00,0.0000%,0.0000%
2022-04-01,1000000.00,0.0000%,0.0000%
2022-04-04,1000000.00,0.0000%,0.0000%
2022-04-06,1000000.00,0.0000%,0.0000%
2022-04-07,1000000.00,0.0000%,0.0000%
2022-04-08,1000000.00,0.0000%,0.0000%
2022-04-11,1000000.00,0.0000%,0.0000%
2022-04-12,1000000.00,0.0000%,0.0000%
2022-04-13,1000000.00,0.0000%,0.0000%
2022-04-14,1000000.00,0.0000%,0.0000%
2022-04-15,1000000.00,0.0000%,0.0000%
2022-04-18,1000000.00,0.0000%,0.0000%
